model_short_name,condition,placement,n,location,patch_size_ratio,patch_size_px,threshold,rank1_acc,correct_accept_rate,false_reject_rate,misid_rate,misaccept_rate,avg_top1_sim,avg_true_sim,avg_similarity_drop,run_tag
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,forehead,0.3,34,0.16163350641727448,0.996742671009772,0.996742671009772,0.0,0.003257328990228013,0.003257328990228013,0.48273369669914246,0.4826657772064209,0.01596216913252001,run_20260615_122035
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,forehead,0.3,34,0.16163350641727448,0.9674267100977199,0.9641693811074918,0.006514657980456026,0.03257328990228013,0.029315960912052116,0.40395089983940125,0.40222010016441345,0.0964078167423072,run_20260615_122035
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.3,34,0.16163350641727448,0.995114006514658,0.995114006514658,0.0,0.004885993485342019,0.004885993485342019,0.466622531414032,0.4665200412273407,0.03210783859029267,run_20260615_122035
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.3,34,0.16163350641727448,0.6074918566775245,0.5960912052117264,0.11726384364820847,0.3925081433224756,0.28664495114006516,0.28446027636528015,0.25126537680625916,0.2473625225577722,run_20260615_122035
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,right_cheek,0.3,34,0.16163350641727448,1.0,1.0,0.0,0.0,0.0,0.4879087805747986,0.4879087805747986,0.010719118269724643,run_20260615_122035
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,right_cheek,0.3,34,0.16163350641727448,0.9560260586319218,0.9527687296416938,0.014657980456026058,0.043973941368078175,0.03257328990228013,0.4117273688316345,0.4092954099178314,0.08933252094355973,run_20260615_122035
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,chin,0.3,34,0.16163350641727448,1.0,0.998371335504886,0.0016286644951140066,0.0,0.0,0.4817003905773163,0.4817003905773163,0.016927532754620046,run_20260615_122035
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,chin,0.3,34,0.16163350641727448,0.9169381107491856,0.9104234527687296,0.029315960912052116,0.08306188925081433,0.06026058631921824,0.367220938205719,0.3630692660808563,0.13555865375634513,run_20260615_122035
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,right_under_eye,0.3,34,0.16163350641727448,1.0,1.0,0.0,0.0,0.0,0.48138436675071716,0.48138436675071716,0.01724354631543548,run_20260615_122035
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,right_under_eye,0.3,34,0.16163350641727448,0.9641693811074918,0.9592833876221498,0.008143322475570033,0.035830618892508145,0.03257328990228013,0.40748101472854614,0.4052138328552246,0.09341407979835517,run_20260615_122035
