model_short_name,condition,placement,n,location,patch_size_ratio,patch_size_px,threshold,rank1_acc,correct_accept_rate,false_reject_rate,misid_rate,misaccept_rate,avg_top1_sim,avg_true_sim,avg_similarity_drop
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.15,17,0.16163350641727448,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.4924512803554535,0.492428719997406,0.006199215663178347
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.15,17,0.16163350641727448,0.995114006514658,0.995114006514658,0.0,0.004885993485342019,0.004885993485342019,0.46026939153671265,0.45997434854507446,0.03865354005793407
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.2,22,0.16163350641727448,0.996742671009772,0.996742671009772,0.0,0.003257328990228013,0.003257328990228013,0.48689380288124084,0.4868347942829132,0.011793119826806097
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.2,22,0.16163350641727448,0.9706840390879479,0.9706840390879479,0.003257328990228013,0.029315960912052116,0.026058631921824105,0.4147574007511139,0.4132348299026489,0.0853930819500541
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.25,28,0.16163350641727448,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.47784623503685,0.4778445363044739,0.020783378145011317
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.25,28,0.16163350641727448,0.8990228013029316,0.8957654723127035,0.019543973941368076,0.10097719869706841,0.08469055374592833,0.35759806632995605,0.3497247099876404,0.14890320657931438
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.3,34,0.16163350641727448,0.995114006514658,0.995114006514658,0.0,0.004885993485342019,0.004885993485342019,0.466622531414032,0.4665200412273407,0.03210783859029267
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.3,34,0.16163350641727448,0.6742671009771987,0.6677524429967426,0.08631921824104234,0.3257328990228013,0.24592833876221498,0.2969842851161957,0.2699178159236908,0.22871009611937215
adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,614,nose_bridge,0.35,39,0.16163350641727448,0.990228013029316,0.990228013029316,0.0,0.009771986970684038,0.009771986970684038,0.4551100432872772,0.4548095762729645,0.04381835106335556
adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,614,nose_bridge,0.35,39,0.16163350641727448,0.5293159609120521,0.5244299674267101,0.014657980456026058,0.47068403908794787,0.4609120521172638,0.3052383363246918,0.23728083074092865,0.26134708964308356
